from,to,pair,dep_animal_on_plant,dep_plant_on_animal,ASYMMETRY
Adscita statices,Silene dioica,Adscita statices_Silene dioica,0.59,0.037,0.937
Adscita statices,Verbascum thapsus,Adscita statices_Verbascum thapsus,0.131,0.067,0.492
Adscita statices, Melilotus alba,Adscita statices_ Melilotus alba,0.098,0.122,0.197
Adscita statices,Epilobium montanum,Adscita statices_Epilobium montanum,0.082,0.056,0.322
Adscita statices,Chamomilla recutita,Adscita statices_Chamomilla recutita,0.066,0.074,0.115
Adscita statices,Achillea millefolium,Adscita statices_Achillea millefolium,0.033,0.019,0.435
Agromyzidae sp.,Trifolium repens,Agromyzidae sp._Trifolium repens,1,0.048,0.952
Anthomyiidae sp.,Tripleurospermum inodorum,Anthomyiidae sp._Tripleurospermum inodorum,0.833,0.009,0.99
Anthomyiidae sp.,Vicia hirsuta,Anthomyiidae sp._Vicia hirsuta,0.167,0.077,0.538
"Apion aeneum Fabricius, Curculionidae", Malva sylvestris,"Apion aeneum Fabricius, Curculionidae_ Malva sylvestris",1,0.143,0.857
Apion flavipes Paykull,Trifolium repens,Apion flavipes Paykull_Trifolium repens,1,0.095,0.905
Apion hookeri Kirby,Cirsium arvense,Apion hookeri Kirby_Cirsium arvense,0.625,0.033,0.947
Apion hookeri Kirby,Tripleurospermum inodorum,Apion hookeri Kirby_Tripleurospermum inodorum,0.312,0.009,0.972
Apion hookeri Kirby, Melilotus alba,Apion hookeri Kirby_ Melilotus alba,0.063,0.041,0.347
Apion meliloti Kirby, Melilotus alba,Apion meliloti Kirby_ Melilotus alba,1,0.02,0.98
Apion rufirostre Fabricius,Verbascum thapsus,Apion rufirostre Fabricius_Verbascum thapsus,0.952,0.067,0.93
Apion rufirostre Fabricius, Malva sylvestris,Apion rufirostre Fabricius_ Malva sylvestris,0.048,0.143,0.667
Apocrita (Entomophaga) sp.,Cirsium arvense,Apocrita (Entomophaga) sp._Cirsium arvense,0.273,0.133,0.512
Apocrita (Entomophaga) sp.,Tripleurospermum inodorum,Apocrita (Entomophaga) sp._Tripleurospermum inodorum,0.273,0.069,0.748
Apocrita (Entomophaga) sp.,Ranunculus repens,Apocrita (Entomophaga) sp._Ranunculus repens,0.205,0.022,0.894
Apocrita (Entomophaga) sp.,Tanacetum vulgare,Apocrita (Entomophaga) sp._Tanacetum vulgare,0.072,0.036,0.505
Apocrita (Entomophaga) sp., Melilotus alba,Apocrita (Entomophaga) sp._ Melilotus alba,0.062,0.367,0.833
Apocrita (Entomophaga) sp.,Silene dioica,Apocrita (Entomophaga) sp._Silene dioica,0.041,0.012,0.699
Apocrita (Entomophaga) sp.,Senecio jacobaea,Apocrita (Entomophaga) sp._Senecio jacobaea,0.021,0.031,0.337
Apocrita (Entomophaga) sp.,Chaerophyllum temulentum,Apocrita (Entomophaga) sp._Chaerophyllum temulentum,0.014,0.042,0.672
Apocrita (Entomophaga) sp.,Lapsana communis,Apocrita (Entomophaga) sp._Lapsana communis,0.014,0.08,0.829
Apocrita (Entomophaga) sp.,Trifolium dubium,Apocrita (Entomophaga) sp._Trifolium dubium,0.014,0.4,0.966
Apocrita (Entomophaga) sp.,Aegopodium podagraria,Apocrita (Entomophaga) sp._Aegopodium podagraria,0.007,0.286,0.976
