from,to,season,weight
Abella,Belletti,2004/2005,3
Abella,Deco,2004/2005,7
Abella,Iniesta,2004/2005,15
Abella,Marquez,2004/2005,2
Abella,Oleguer,2004/2005,2
Abella,Puyol,2004/2005,10
Abella,Ronaldinho,2004/2005,1
Abella,Ruben,2004/2005,2
Abella,Samuel Eto''o Fils,2004/2005,5
Abella,Valdes,2004/2005,1
Abella,Xavi,2004/2005,13
Abidal,Adriano,2010/2011,18
Abidal,Adriano,2011/2012,55
Abidal,Afellay,2010/2011,9
Abidal,Alba,2012/2013,2
Abidal,Alexis,2011/2012,51
Abidal,Alexis,2012/2013,5
Abidal,Bojan,2007/2008,43
Abidal,Bojan,2008/2009,12
Abidal,Bojan,2009/2010,37
Abidal,Bojan,2010/2011,24
Abidal,Busquets,2008/2009,80
Abidal,Busquets,2009/2010,53
Abidal,Busquets,2010/2011,203
Abidal,Busquets,2011/2012,140
Abidal,Caceres,2008/2009,28
Abidal,Chygrynskiy,2009/2010,37
Abidal,Cuenca,2011/2012,5
Abidal,Dani Alves,2008/2009,20
Abidal,Dani Alves,2009/2010,6
Abidal,Dani Alves,2010/2011,19
Abidal,Dani Alves,2011/2012,30
Abidal,Deco,2007/2008,121
Abidal,Edmilson,2007/2008,19
Abidal,Ezquerro,2007/2008,13
Abidal,Fabregas,2011/2012,137
Abidal,Fabregas,2012/2013,3
Abidal,Fali,2007/2008,1
Abidal,Giovano,2007/2008,36
Abidal,Gudjohnsen,2007/2008,47
Abidal,Gudjohnsen,2008/2009,34
Abidal,Henry,2007/2008,185
Abidal,Henry,2008/2009,159
Abidal,Henry,2009/2010,52
Abidal,Hleb,2008/2009,21
Abidal,Iniesta,2007/2008,208
Abidal,Iniesta,2008/2009,218
Abidal,Iniesta,2009/2010,148
Abidal,Iniesta,2010/2011,236
Abidal,Iniesta,2011/2012,158
Abidal,Jeffren,2009/2010,10
Abidal,Jeffren,2010/2011,2
Abidal,Jonathan dos Santos,2009/2010,1
Abidal,Jonathan dos Santos,2011/2012,3
Abidal,Kéita,2008/2009,119
Abidal,Kéita,2009/2010,138
Abidal,Kéita,2010/2011,127
Abidal,Kéita,2011/2012,68
Abidal,Marquez,2007/2008,40
Abidal,Marquez,2008/2009,29
Abidal,Marquez,2009/2010,4
Abidal,Mascherano,2010/2011,78
Abidal,Mascherano,2011/2012,145
Abidal,Maxwell,2009/2010,11
Abidal,Maxwell,2010/2011,107
Abidal,Maxwell,2011/2012,39
Abidal,Messi,2007/2008,42
Abidal,Messi,2008/2009,53
Abidal,Messi,2009/2010,34
Abidal,Messi,2010/2011,83
Abidal,Messi,2011/2012,52
Abidal,Milito,2007/2008,173
Abidal,Milito,2009/2010,13
Abidal,Milito,2010/2011,16
Abidal,Nolito,2010/2011,1
Abidal,Oleguer,2007/2008,21
Abidal,Pedro,2008/2009,8
Abidal,Pedro,2009/2010,55
Abidal,Pedro,2010/2011,66
Abidal,Pedro,2011/2012,59
Abidal,Pedro,2012/2013,1
Abidal,Pinto,2007/2008,1
Abidal,Pinto,2010/2011,11
Abidal,Pique,2008/2009,44
Abidal,Pique,2009/2010,41
Abidal,Pique,2010/2011,118
Abidal,Pique,2011/2012,53
Abidal,Pique,2012/2013,2
Abidal,Puyol,2007/2008,57
Abidal,Puyol,2008/2009,119
Abidal,Puyol,2009/2010,57
Abidal,Puyol,2010/2011,74
Abidal,Puyol,2011/2012,51
Abidal,Ronaldinho,2007/2008,86
Abidal,Rueda,2007/2008,3
Abidal,Samuel Eto''o Fils,2007/2008,35
Abidal,Samuel Eto''o Fils,2008/2009,124
Abidal,Sergi Roberto,2011/2012,2
Abidal,Song,2012/2013,2
Abidal,Sylvinho,2007/2008,4
Abidal,Sylvinho,2008/2009,4
Abidal,Tello,2011/2012,9
Abidal,Thiago,2010/2011,5
Abidal,Thiago,2011/2012,148
Abidal,Thiago,2012/2013,6
Abidal,Thuram,2007/2008,19
Abidal,Toure,2007/2008,88
Abidal,Toure,2008/2009,87
Abidal,Toure,2009/2010,52
Abidal,Valdes,2007/2008,20
Abidal,Valdes,2008/2009,23
Abidal,Valdes,2009/2010,25
Abidal,Valdes,2010/2011,40
Abidal,Valdes,2011/2012,67
Abidal,Valdes,2012/2013,3
Abidal,Vazquez,2007/2008,1
Abidal,Victor Sanchez,2008/2009,3
Abidal,Villa,2010/2011,80
Abidal,Villa,2011/2012,47
Abidal,Xavi,2007/2008,122
Abidal,Xavi,2008/2009,96
Abidal,Xavi,2009/2010,83
Abidal,Xavi,2010/2011,135
Abidal,Xavi,2011/2012,134
Abidal,Xavi,2012/2013,4
Abidal,Zambrotta,2007/2008,3
Abidal,Zlatan Ibrahimović,2009/2010,89
Adriano,Abidal,2010/2011,39
Adriano,Abidal,2011/2012,40
Adriano,Afellay,2010/2011,29
Adriano,Afellay,2011/2012,13
Adriano,Alba,2012/2013,72
Adriano,Alba,2014/2015,2
Adriano,Alexis,2011/2012,28
Adriano,Alexis,2012/2013,42
Adriano,Alexis,2013/2014,36
Adriano,Arda,2015/2016,23
Adriano,Bartra,2011/2012,1
Adriano,Bartra,2012/2013,1
Adriano,Bartra,2013/2014,45
Adriano,Bartra,2014/2015,46
Adriano,Bartra,2015/2016,26
Adriano,Bojan,2010/2011,18
Adriano,Bravo,2014/2015,15
Adriano,Bravo,2015/2016,4
Adriano,Busquets,2010/2011,60
Adriano,Busquets,2011/2012,109
Adriano,Busquets,2012/2013,99
Adriano,Busquets,2013/2014,133
Adriano,Busquets,2014/2015,36
Adriano,Busquets,2015/2016,29
Adriano,Cuenca,2011/2012,26
Adriano,Dani Alves,2010/2011,6
Adriano,Dani Alves,2011/2012,41
Adriano,Dani Alves,2012/2013,17
Adriano,Dani Alves,2013/2014,22
Adriano,Dani Alves,2014/2015,6
Adriano,Dani Alves,2015/2016,3
Adriano,Deulofeu,2011/2012,1
Adriano,Fabregas,2011/2012,89
Adriano,Fabregas,2012/2013,131
Adriano,Fabregas,2013/2014,118
Adriano,Fontas,2011/2012,11
Adriano,Gumbau,2015/2016,3
Adriano,Iniesta,2010/2011,116
Adriano,Iniesta,2011/2012,128
Adriano,Iniesta,2012/2013,38
Adriano,Iniesta,2013/2014,226
Adriano,Iniesta,2014/2015,10
Adriano,Iniesta,2015/2016,20
Adriano,Ivan Rakitić,2014/2015,34
Adriano,Ivan Rakitić,2015/2016,17
Adriano,Jeffren,2010/2011,1
Adriano,Jonathan dos Santos,2011/2012,13
Adriano,Jonathan dos Santos,2012/2013,2
Adriano,Kéita,2010/2011,35
Adriano,Kéita,2011/2012,95
Adriano,Mascherano,2010/2011,32
Adriano,Mascherano,2011/2012,112
Adriano,Mascherano,2012/2013,64
Adriano,Mascherano,2013/2014,116
Adriano,Mascherano,2014/2015,68
Adriano,Mascherano,2015/2016,32
Adriano,Masip,2014/2015,1
Adriano,Mathieu,2014/2015,37
Adriano,Mathieu,2015/2016,21
Adriano,Maxwell,2010/2011,6
Adriano,Maxwell,2011/2012,7
Adriano,Messi,2010/2011,63
Adriano,Messi,2011/2012,90
Adriano,Messi,2012/2013,63
Adriano,Messi,2013/2014,70
Adriano,Messi,2014/2015,58
Adriano,Messi,2015/2016,10
Adriano,Milito,2010/2011,19
Adriano,Montoya,2011/2012,2
Adriano,Montoya,2012/2013,10
Adriano,Montoya,2013/2014,5
Adriano,Montoya,2014/2015,2
Adriano,Munir,2014/2015,12
Adriano,Munir,2015/2016,12
Adriano,Neymar,2013/2014,179
Adriano,Neymar,2014/2015,181
Adriano,Neymar,2015/2016,85
Adriano,Pedro,2010/2011,41
Adriano,Pedro,2011/2012,41
Adriano,Pedro,2012/2013,59
Adriano,Pedro,2013/2014,136
Adriano,Pedro,2014/2015,45
Adriano,Pinto,2010/2011,1
Adriano,Pinto,2011/2012,6
Adriano,Pinto,2012/2013,8
Adriano,Pinto,2013/2014,3
Adriano,Pique,2010/2011,85
Adriano,Pique,2011/2012,23
Adriano,Pique,2012/2013,84
Adriano,Pique,2013/2014,64
Adriano,Pique,2014/2015,19
Adriano,Pique,2015/2016,14
Adriano,Puyol,2010/2011,14
Adriano,Puyol,2011/2012,32
Adriano,Puyol,2012/2013,21
Adriano,Puyol,2013/2014,25
Adriano,Rafinha,2014/2015,40
Adriano,Rafinha,2015/2016,8
Adriano,Sandro,2014/2015,3
Adriano,Sandro,2015/2016,4
Adriano,Sergi Roberto,2013/2014,8
Adriano,Sergi Roberto,2014/2015,27
Adriano,Sergi Roberto,2015/2016,4
Adriano,Song,2012/2013,76
Adriano,Song,2013/2014,38
Adriano,Suarez,2014/2015,38
Adriano,Suarez,2015/2016,22
Adriano,Tello,2011/2012,24
Adriano,Tello,2012/2013,47
Adriano,Tello,2013/2014,33
Adriano,Thiago,2010/2011,7
Adriano,Thiago,2011/2012,137
Adriano,Thiago,2012/2013,72
Adriano,Valdes,2010/2011,10
Adriano,Valdes,2011/2012,25
Adriano,Valdes,2012/2013,15
